id,ext,agr,con,ner,open,about,activities,books,city,followers_count,friends_count,groups,interests,is_closed,movies,music,quotes,relation,sex,status,tv,video_count,wall_count
157907116,0.43,0.81,0.65,1.0,0.64,0,0,0,72,152.0,85.0,157,0,0,0,0,0,0.0,1,0,0,10.0,28.0
3421120,0.71,0.41,0.51,0.8,0.64,119,5,11,2,223.0,118.0,30,1,0,8,12,471,1.0,1,68,43,9.0,241.0
33212383,0.55,0.6,0.68,0.89,0.67,0,0,4,6492,86.0,230.0,143,4,0,1,0,25,0.0,2,81,0,4.0,353.0
20802612,0.75,0.8,0.67,0.65,0.85,0,0,0,72,194.0,157.0,28,0,0,0,0,0,0.0,1,0,0,565.0,1041.0
28012667,0.67,0.75,0.8,0.45,0.72,0,0,0,2,104.0,177.0,289,0,0,11,3,874,4.0,2,3,0,391.0,12.0
107817343,0.64,0.6,0.81,0.77,0.75,0,0,0,2,550.0,460.0,64,0,0,0,0,0,0.0,1,0,0,939.0,700.0
267140490,0.59,0.84,0.6,0.64,0.84,0,0,0,1802375,101.0,72.0,282,0,0,0,0,0,7.0,1,47,0,0.0,1.0
18910355,0.39,0.36,0.44,0.63,0.52,0,0,0,1,173.0,229.0,138,0,0,0,0,0,0.0,2,0,0,579.0,1585.0
273780971,0.43,0.49,0.52,0.6,0.45,0,0,0,56,127.0,54.0,75,0,0,0,0,0,0.0,2,5,0,128.0,31.0
478321,0.71,0.68,0.69,0.68,0.84,0,0,0,0,34.0,75.0,6,0,0,0,0,0,0.0,2,0,0,17.0,365.0
2412512,0.52,0.77,0.84,0.67,0.47,0,0,0,2,0.0,0.0,0,0,1,0,0,0,0.0,1,15,0,0.0,0.0
38020195,0.57,0.77,0.81,0.81,0.72,0,0,0,49,19.0,46.0,2,0,0,0,0,0,0.0,2,0,0,0.0,0.0
40527812,0.81,0.84,0.75,0.25,0.92,0,0,0,650,5.0,0.0,1,0,0,0,0,0,6.0,1,0,0,0.0,3.0
34929794,0.56,0.83,0.95,0.52,0.73,0,0,0,2,31.0,125.0,56,0,0,0,0,0,0.0,2,0,0,0.0,5.0
196017324,0.51,0.87,0.77,0.63,0.8,0,0,0,37,0.0,87.0,60,0,0,0,0,0,0.0,1,10,0,31.0,4.0
50780197,0.44,0.56,0.8,0.83,0.52,0,0,0,1,28.0,64.0,13,0,0,0,0,0,0.0,2,0,0,0.0,1.0
96861114,0.47,0.68,0.79,0.64,0.63,23,1,0,1,0.0,67.0,31,0,0,5,1,0,1.0,2,0,0,0.0,0.0
218406555,0.55,0.75,0.83,0.45,0.76,0,0,0,2,45.0,184.0,74,0,0,0,0,0,0.0,2,28,0,276.0,26.0
58571762,0.61,0.53,0.93,0.35,0.57,0,0,0,73,81.0,114.0,38,0,0,0,0,0,0.0,2,0,0,666.0,40.0
7533276,0.68,0.55,0.83,0.59,0.73,0,0,0,1,100.0,236.0,32,0,0,0,0,0,0.0,2,0,0,19.0,164.0
450044817,0.79,0.76,0.67,0.88,0.83,0,0,0,0,3.0,127.0,16,0,0,0,0,0,0.0,2,0,0,3.0,105.0
11534013,0.69,0.79,0.76,0.59,0.77,0,0,0,2,349.0,469.0,49,0,0,0,0,0,0.0,2,0,0,116.0,109.0
1120219,0.77,0.85,0.72,0.64,0.79,437,2,4,0,57.0,339.0,265,3,0,7,5,165,0.0,2,0,333,463.0,1178.0
153737603,0.49,0.51,0.51,0.53,0.59,0,0,0,2,0.0,0.0,0,0,1,0,0,0,0.0,1,0,0,0.0,0.0
5860598,0.53,0.67,0.87,0.55,0.73,0,0,0,2,6.0,18.0,1,0,0,0,0,0,0.0,2,0,0,6.0,2.0
16912447,0.55,0.48,0.76,0.43,0.68,0,0,0,2,0.0,0.0,0,0,1,0,0,0,0.0,2,16,0,0.0,0.0
18339148,0.6,0.63,0.79,0.39,0.71,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,2,0,0,0.0,0.0
54459467,0.57,0.83,0.84,0.56,0.72,0,0,0,110,601.0,198.0,92,0,0,0,0,0,0.0,1,0,0,0.0,5264.0
32348202,0.68,0.69,0.85,0.55,0.75,0,0,0,2,57.0,139.0,54,0,0,0,0,0,0.0,2,0,0,837.0,199.0
202230988,0.53,0.29,0.35,0.32,0.37,0,0,0,0,11.0,32.0,10,0,0,0,0,0,0.0,2,0,0,28.0,155.0
175676662,0.32,0.64,0.68,0.75,0.75,0,0,0,2,37.0,28.0,42,0,0,0,0,0,0.0,1,0,0,78.0,106.0
198662572,0.88,0.63,0.61,0.4,0.89,0,0,0,37,90.0,145.0,157,0,0,0,0,0,0.0,2,22,0,25.0,63.0
171796238,0.63,0.72,0.61,0.63,0.76,8,2,1,57,101.0,252.0,266,8,0,9,1,208,2.0,1,48,15,194.0,62.0
67401043,0.68,0.72,0.84,0.39,0.59,0,0,0,57,93.0,224.0,57,0,0,0,0,0,0.0,2,0,0,432.0,3.0
134901087,0.93,0.73,0.73,0.37,0.69,0,0,0,99,164.0,176.0,169,0,0,0,0,0,7.0,2,13,0,19.0,37.0
